epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,37946,1.68057,2.68905,0.00821,0.3582,0.33901,0.27657,0.19048,1.42894,2.09037,0.00781,0.00643101,0.00643101,0.00643101
43,38858.8,1.6758,2.6833,0.0082,0.35357,0.3404,0.27707,0.1912,1.4261,2.08667,0.00779,0.00628101,0.00628101,0.00628101
44,39771.7,1.66732,2.67302,0.00816,0.35096,0.34161,0.27819,0.19199,1.42276,2.08333,0.00776,0.00612981,0.00612981,0.00612981
45,40689.2,1.67046,2.66467,0.00813,0.36784,0.34077,0.27859,0.19242,1.42061,2.07998,0.00775,0.00597754,0.00597754,0.00597754
46,41596.7,1.66713,2.64351,0.00807,0.36443,0.3398,0.2795,0.19316,1.4193,2.07723,0.00774,0.00582435,0.00582435,0.00582435
47,42496.9,1.65994,2.64359,0.00805,0.36246,0.33997,0.28029,0.19355,1.4174,2.07361,0.00771,0.0056704,0.0056704,0.0056704
48,43397.7,1.65607,2.63219,0.00804,0.36097,0.34168,0.28145,0.19434,1.41763,2.07027,0.00771,0.00551584,0.00551584,0.00551584
49,44297.2,1.65765,2.61407,0.00797,0.35613,0.3444,0.28179,0.19496,1.4161,2.06722,0.0077,0.00536081,0.00536081,0.00536081
50,45194.1,1.65316,2.60417,0.00794,0.35412,0.34767,0.28269,0.19576,1.41224,2.06543,0.00767,0.00520548,0.00520548,0.00520548
51,46094,1.6438,2.59502,0.00793,0.35753,0.34719,0.28411,0.19686,1.4092,2.06376,0.00764,0.00505,0.00505,0.00505
52,46994.9,1.63856,2.5774,0.00787,0.3538,0.34676,0.28519,0.19778,1.40831,2.05954,0.00763,0.00489452,0.00489452,0.00489452
53,47897.9,1.63895,2.57853,0.00788,0.35343,0.34889,0.28631,0.19831,1.40502,2.05761,0.00759,0.00473919,0.00473919,0.00473919
54,48800.5,1.63084,2.55595,0.00779,0.35687,0.34995,0.28669,0.19867,1.40206,2.05491,0.00756,0.00458416,0.00458416,0.00458416
55,49698.6,1.62899,2.54703,0.00778,0.35543,0.35037,0.2876,0.19954,1.4003,2.05105,0.00755,0.0044296,0.0044296,0.0044296
56,50596.9,1.62111,2.53482,0.00773,0.36,0.35178,0.28868,0.20055,1.3977,2.04708,0.00752,0.00427565,0.00427565,0.00427565
57,51495.7,1.61883,2.52638,0.00772,0.35403,0.35373,0.28977,0.20138,1.39522,2.04457,0.0075,0.00412246,0.00412246,0.00412246
58,52394.8,1.61316,2.5063,0.00764,0.35699,0.35491,0.2905,0.20219,1.3929,2.04093,0.00747,0.00397019,0.00397019,0.00397019
59,53293.2,1.60372,2.48984,0.0076,0.35059,0.35668,0.29165,0.20296,1.39141,2.0367,0.00746,0.00381899,0.00381899,0.00381899
60,54192.9,1.60179,2.47656,0.00756,0.34584,0.35789,0.29275,0.20421,1.38905,2.03286,0.00744,0.00366899,0.00366899,0.00366899
61,55091.9,1.59504,2.47211,0.00755,0.35272,0.35723,0.2936,0.205,1.38511,2.03198,0.00743,0.00352037,0.00352037,0.00352037
62,55990.8,1.59269,2.45321,0.00748,0.351,0.36024,0.29447,0.20585,1.38373,2.03074,0.00741,0.00337325,0.00337325,0.00337325
63,56889.5,1.58871,2.43819,0.00745,0.35242,0.35978,0.29556,0.2067,1.38032,2.0266,0.00738,0.00322778,0.00322778,0.00322778
64,57793,1.5818,2.42446,0.00739,0.35178,0.36209,0.29678,0.20778,1.37715,2.02251,0.00735,0.00308412,0.00308412,0.00308412
65,58691.9,1.5779,2.40801,0.00733,0.34945,0.36489,0.29749,0.2087,1.37563,2.01981,0.00734,0.00294239,0.00294239,0.00294239
66,59591.4,1.57002,2.39643,0.00733,0.3527,0.36468,0.29881,0.20944,1.37376,2.01782,0.00732,0.00280275,0.00280275,0.00280275
67,912.997,1.53418,2.34002,0.00709,0.35253,0.36702,0.29962,0.21015,1.37106,2.01504,0.00729,0.00266532,0.00266532,0.00266532
68,1801.26,1.54171,2.34443,0.00712,0.35955,0.36561,0.30034,0.21055,1.36993,2.01169,0.00728,0.00253024,0.00253024,0.00253024
69,2691.21,1.54074,2.33924,0.00708,0.36012,0.36532,0.30071,0.21072,1.36757,2.00991,0.00727,0.00239766,0.00239766,0.00239766
70,3580.57,1.53935,2.3327,0.00708,0.35525,0.36923,0.30116,0.21111,1.36695,2.00738,0.00724,0.00226769,0.00226769,0.00226769
71,4482.03,1.53085,2.31379,0.00701,0.35902,0.36958,0.30152,0.21139,1.36409,2.00575,0.00722,0.00214046,0.00214046,0.00214046
72,5384.77,1.52933,2.31086,0.00698,0.36238,0.37048,0.30279,0.21242,1.3635,2.00326,0.00721,0.00201611,0.00201611,0.00201611
73,6277.72,1.52413,2.29284,0.00696,0.36552,0.36924,0.30274,0.21261,1.36077,2.0034,0.00718,0.00189475,0.00189475,0.00189475
74,7170.7,1.51711,2.27607,0.00689,0.36924,0.36502,0.30373,0.21309,1.35841,2.00405,0.00715,0.00177651,0.00177651,0.00177651
75,8064.5,1.51299,2.2617,0.00684,0.36933,0.36512,0.30415,0.21343,1.35775,2.00278,0.00715,0.00166149,0.00166149,0.00166149
76,8956.9,1.50828,2.24582,0.00678,0.36742,0.36828,0.30446,0.2137,1.35716,2.00301,0.00713,0.00154982,0.00154982,0.00154982
77,9848.99,1.50038,2.23501,0.00676,0.36866,0.36887,0.30552,0.21438,1.35541,2.00372,0.00713,0.00144161,0.00144161,0.00144161
78,10746.5,1.49728,2.21506,0.00668,0.36756,0.36872,0.30597,0.21496,1.35502,2.00367,0.00713,0.00133695,0.00133695,0.00133695
79,11644.9,1.49266,2.20578,0.00667,0.36244,0.36774,0.30598,0.21482,1.3533,2.005,0.00712,0.00123596,0.00123596,0.00123596
80,12538.5,1.48663,2.18797,0.00663,0.35936,0.3692,0.30601,0.21516,1.35106,2.0056,0.00711,0.00113873,0.00113873,0.00113873
81,13421.9,1.48058,2.17521,0.0066,0.36015,0.37067,0.30679,0.21538,1.35014,2.00657,0.0071,0.00104537,0.00104537,0.00104537
82,14306.4,1.47615,2.16002,0.00654,0.36243,0.37169,0.30765,0.21592,1.34976,2.00649,0.0071,0.000955951,0.000955951,0.000955951
83,15188.4,1.46709,2.14654,0.00651,0.36337,0.37106,0.30795,0.21592,1.34838,2.00994,0.00709,0.000870577,0.000870577,0.000870577
84,16072.6,1.46428,2.13427,0.00648,0.36317,0.37229,0.30777,0.2159,1.34716,2.01112,0.00708,0.000789327,0.000789327,0.000789327
85,908.215,1.44167,2.08396,0.00633,0.36178,0.37387,0.30763,0.21571,1.34723,2.01207,0.00708,0.000712282,0.000712282,0.000712282
86,1777.14,1.35896,1.90622,0.00588,0.36123,0.37222,0.30767,0.21574,1.34637,2.0137,0.00706,0.000639518,0.000639518,0.000639518
87,2645.05,1.35513,1.88426,0.00582,0.36188,0.37489,0.30735,0.21537,1.34528,2.01732,0.00705,0.000571106,0.000571106,0.000571106
